Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1001,Finance,42,57764,3,40.698158144456094,73,No
1002,Marketing,23,86760,7,40.50863657035915,83,Yes
1003,Sales,59,41841,2,49.37107965351175,72,No
1004,Marketing,57,67767,6,39.79227812094407,54,No
1005,Marketing,58,76597,4,30.472013397225485,86,No
1006,HR,36,43743,6,38.14044568973184,65,Yes
1007,Sales,49,73515,4,40.341657640526165,79,No
1008,Sales,39,84316,5,33.69567509197282,81,Yes
1009,Sales,55,47716,6,38.81009626764981,69,No
1010,Marketing,43,94872,2,38.87349267657707,64,No
1011,Finance,32,54852,9,48.87943173558606,69,No
1012,Sales,34,78621,2,36.61173502269087,94,No
1013,Marketing,25,68746,5,44.7480704599154,63,No
1014,HR,43,71042,5,39.270206888534545,61,No
1015,Finance,28,50747,2,44.300476691070934,77,Yes
1016,HR,45,88907,5,46.97844958193893,72,No
1017,Finance,25,74888,10,41.90607182985029,70,No
1018,Marketing,49,94312,2,39.712528635179545,64,No
1019,IT,36,51138,4,45.74272858259607,74,No
1020,Finance,22,67281,6,32.68365058091504,73,No
1021,HR,24,73142,7,40.86626517178188,91,Yes
1022,Marketing,35,70905,7,33.76787624202628,64,No
1023,Finance,59,80001,3,43.999305550012764,69,Yes
1024,IT,22,67091,6,40.491898796439514,90,No
1025,IT,59,101830,9,39.638147156375155,68,No
1026,Sales,59,70597,6,38.14987667265175,66,No
1027,Sales,42,26737,8,43.38358939662638,80,No
1028,HR,50,71263,7,31.063875761541134,76,No
1029,Finance,26,88921,4,49.51314224044453,71,No
1030,Finance,31,56150,3,39.28847835089588,75,No
1031,Sales,49,55198,10,33.50056374353106,80,No
1032,Finance,42,57394,4,26.855194531002535,76,No
1033,Finance,28,53852,3,39.15867228415675,81,No
1034,IT,24,62808,10,41.151106254208386,72,No
1035,Sales,41,83639,12,41.526724212552125,62,No
1036,Marketing,40,92894,2,32.74812573696238,81,No
1037,Sales,56,33636,3,33.85051076456039,71,No
1038,Marketing,25,64323,2,46.78057582836881,71,Yes
1039,IT,26,74540,8,32.23715725649347,83,Yes
1040,HR,22,73040,3,40.5565522201749,94,Yes
1041,Finance,25,98499,7,38.073678406223095,54,No
1042,IT,33,39839,5,37.32039301808892,71,Yes
1043,Finance,48,31164,6,38.6300689789381,74,No
1044,HR,44,100933,2,37.3020472845375,76,No
1045,HR,46,81301,4,37.135326909070386,72,No
1046,IT,42,61429,9,44.99336168223284,73,No
1047,HR,45,72573,7,37.98101292129731,79,No
1048,Marketing,46,73648,4,33.9068289414009,72,No
1049,HR,53,61067,3,39.58059225618881,68,No
1050,Finance,53,72126,1,34.70590605086375,68,No
1051,Finance,26,75322,5,34.56413658153275,90,No
1052,Finance,57,100232,2,47.276236095910285,98,No
1053,Finance,37,84451,7,39.084116553483064,70,No
1054,Marketing,54,96089,6,33.61286867794944,71,No
1055,Sales,42,49846,4,39.48529706406943,79,No
1056,IT,30,64792,6,40.31908867352333,76,No
1057,Finance,27,73633,4,38.96463568962038,73,Yes
1058,HR,56,41183,4,37.55765464447715,59,No
1059,Finance,43,87727,5,33.063665064320446,65,No
1060,HR,26,79633,4,37.921820853554976,83,No
1061,HR,44,64492,6,36.030127060397305,71,No
1062,Finance,38,67249,9,39.38994275225177,98,Yes
1063,Marketing,33,88808,4,42.1133340750343,98,No
1064,HR,44,58068,3,48.75708567028873,63,No
1065,HR,37,89412,6,43.87410373824663,90,No
1066,Finance,24,66219,5,26.426490076235996,73,No
1067,HR,51,81339,6,41.11189965215366,76,Yes
1068,HR,43,71301,2,47.57884845477345,83,No
1069,Finance,30,103497,3,39.28768939466482,87,No
1070,Finance,50,56689,1,47.777924781214395,66,No
1071,IT,58,61400,5,34.476727599294136,100,No
1072,Marketing,44,47408,7,35.61246702280086,78,No
1073,Marketing,34,53548,3,39.154921494122604,51,No
1074,HR,53,80696,3,39.26901742743667,71,No
1075,Marketing,44,94002,8,44.183558043988455,100,Yes
1076,HR,38,82397,3,40.009696171587635,67,No
1077,IT,42,69919,1,39.45521404563564,100,No
1078,Finance,23,56595,5,52.38141426246365,76,No
1079,Finance,58,83476,12,36.112039630567324,74,No
1080,Finance,27,55770,4,46.44331142359387,62,No
1081,Marketing,39,49765,6,42.078042623326844,82,No
1082,IT,51,65372,3,38.167271536263684,71,No
1083,Marketing,43,39490,6,41.29408924553125,74,No
1084,Marketing,54,49279,8,35.912332947257944,72,No
1085,IT,51,98289,7,40.431193668840955,85,Yes
1086,IT,38,46497,5,39.98014798543395,72,No
1087,IT,53,52177,3,42.38163143156012,44,No
1088,IT,35,71077,5,39.41627122466071,64,No
1089,Finance,31,71858,11,48.3308508611551,59,No
1090,Sales,57,66480,3,35.58839787679542,92,No
1091,Sales,55,39949,16,36.55674595555575,82,Yes
1092,IT,30,82727,5,41.196142134530135,75,No
1093,Sales,49,63354,0,35.97196780926349,72,No
1094,Sales,32,88306,5,43.36483476107225,58,No
1095,IT,35,60327,5,46.571852248034446,72,No
1096,Sales,40,84737,3,37.40202806582307,86,Yes
1097,Marketing,36,89441,1,40.440607421684504,84,No
1098,HR,49,62995,4,43.27351069021433,80,No
1099,HR,45,83206,5,44.416613567270886,58,No
1100,IT,29,50071,2,57.38911277141736,66,No
1101,Finance,30,73955,4,33.21212565121522,79,No
1102,IT,54,88333,7,47.4708959243147,61,No
1103,Finance,54,77777,4,36.787537318729115,83,No
1104,HR,40,106093,6,36.999189841031715,59,No
1105,IT,24,78615,6,40.71497313195311,61,No
1106,Marketing,31,64520,7,40.310550362160235,59,No
1107,Sales,22,112613,8,46.25418320061689,69,No
1108,Finance,50,94505,4,32.647410163954234,56,No
1109,Sales,55,45956,6,25.11977884524354,69,No
1110,Sales,34,58237,5,49.669128442605924,64,No
1111,IT,22,54427,6,32.79992777464596,66,No
1112,Sales,55,79684,4,45.02527566990493,83,No
1113,Marketing,50,78567,2,46.97374142802946,74,Yes
1114,Sales,34,78451,2,45.67311778233597,83,No
1115,IT,50,45551,10,42.557153968502426,100,No
1116,Marketing,45,60428,2,43.72912293561498,54,No
1117,HR,47,67760,4,37.386999693754994,68,No
1118,Sales,38,42671,8,30.428258303543316,62,No
1119,IT,28,56922,3,38.26221292743364,66,No
1120,HR,34,90346,12,37.281885357455174,79,No
1121,HR,26,46688,2,35.277086446125374,96,No
1122,Finance,47,91828,3,40.24777552590979,82,No
1123,Marketing,24,86367,7,30.25312243231658,80,No
1124,Sales,28,65638,3,46.27219832244254,87,No
1125,IT,22,60266,6,39.651921339881696,92,Yes
1126,Finance,38,82477,4,37.52963084238877,96,No
1127,Marketing,46,58183,4,38.452374643289076,80,No
1128,Finance,24,58930,0,39.217793731078494,63,Yes
1129,Marketing,36,69641,9,34.818473358831284,70,No
1130,Marketing,50,38046,5,34.800222377315485,50,No
1131,Sales,53,48250,1,33.461728848237684,84,No
1132,Marketing,47,65265,5,32.9034456478638,64,No
1133,Finance,37,77135,3,35.71963670261633,66,No
1134,Marketing,46,57976,3,39.263302386937475,79,No
1135,Sales,49,67035,7,45.505324017845666,51,No
1136,Sales,30,45798,9,32.11824218967528,87,No
1137,Finance,22,83987,5,44.576957360652635,81,Yes
1138,HR,50,73301,5,31.957750837750133,69,No
1139,HR,43,74628,4,40.48222575419263,74,No
1140,Marketing,37,77323,2,32.41466095300701,66,No
1141,IT,28,71171,6,33.67701812027825,100,Yes
1142,Marketing,35,62743,8,41.58147941764527,63,No
1143,Finance,50,86944,6,41.5242263204397,78,Yes
1144,Finance,40,72353,4,43.74485906295295,71,No
1145,Finance,40,67514,7,35.34208987498113,75,No
1146,Finance,23,69870,7,44.983375018858624,81,Yes
1147,Finance,36,69550,5,47.81660099131496,81,Yes
1148,Sales,24,67363,6,41.165733737228706,70,No
1149,HR,32,76691,5,31.066280927137186,61,No
1150,Finance,51,55962,5,30.354558316597966,66,No
1151,IT,39,57058,8,40.76506132872147,69,No
1152,IT,23,78388,7,37.13888696873423,67,No
1153,IT,53,67821,4,35.021795695441824,62,No
1154,IT,29,84570,3,39.16435639376455,80,No
